Replica,Seed,TotalRequests,TotalSuitcases,Delivered,Undelivered,LateSuitcases,TotalDelay,CapacityOverflow,WarehouseOverflow,Fitness,Semaphore,IterationsRun,Improvements,ExecutionTime
1,1,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8116,213571
2,2,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8131,214752
3,3,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8098,214449
4,4,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8105,214617
5,5,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8187,215961
6,6,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8127,213992
7,7,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8139,214065
8,8,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8091,214026
9,9,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8121,214804
10,10,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8072,213230
11,11,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8137,214452
12,12,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8139,214228
13,13,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8108,213816
14,14,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8099,215808
15,15,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8053,213356
16,16,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8124,213301
17,17,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8179,213698
18,18,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8122,213282
19,19,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8112,215032
20,20,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8120,214932
21,21,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8196,216417
22,22,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8157,216462
23,23,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8215,216662
24,24,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8121,215347
25,25,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8127,216350
26,26,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8090,214698
27,27,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8088,216087
28,28,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8233,216482
29,29,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8164,216183
30,30,12368,23166,23166,0,0,0.00,0,0,0.00,GREEN,10000,8049,214501
